BOD,COD,SS,T-N,T-P,TOC,NH3-N,PO4-P,Chl-a,Rain
4,5.7,15.9,5.134,0.099,4.3,1.457,0.017,51.4,41.9
4.6,6.6,14.3,5.714,0.096,4.8,1.809,0.007,73.4,25.3
5.6,8.3,20.5,6.029,0.103,5.8,2.214,0.006,87.5,37
5.5,7.5,16.6,4.748,0.11,5.6,1.872,0.03,42.1,153.8
3.6,6.5,21.2,3.242,0.109,5,0.854,0.03,24.9,67.5
5.5,8.2,25.6,3.725,0.103,6.7,1.261,0.016,44.6,98.9
3.9,7.5,21.9,2.928,0.139,5.4,0.497,0.044,31.4,179.5
4.2,8.2,21.6,3.431,0.19,5.8,0.729,0.068,28.5,145.9
3.5,6.7,16.7,2.514,0.135,4.9,0.347,0.034,25.3,66.7
4,6.5,17.6,2.841,0.117,5.1,0.409,0.031,38.9,87.6
4.3,6.5,13.1,3.945,0.098,5.2,0.673,0.016,32.3,112.5
2.9,5.5,9.5,4.364,0.129,2.8,0.861,0.062,18.1,58
4.7,8.1,15.9,5.226,0.104,7.5,0.3,0.007,133,52.3
4.1,6.5,15,5.067,0.139,5.6,1.062,0.041,51.6,46.2
5,7.7,19.6,4.042,0.118,5.8,0.678,0.019,53.1,63.3
4.5,6.3,12.8,3.852,0.096,5.4,0.735,0.024,27.8,194.1
4.1,6.5,22,2.573,0.097,5.5,0.259,0.026,41.9,111.9
4.9,8.6,22.8,3.751,0.135,7.3,0.985,0.035,49.2,122.8
3,6.9,20.9,2.459,0.138,5.6,0.323,0.067,28.7,277.4
5.1,11.3,23.2,2.578,0.181,7.9,0.576,0.074,46.5,71
3.2,7.3,11.6,2.502,0.135,5.5,0.444,0.073,20.7,244.7
3.3,6.4,27.5,3.037,0.196,4.8,0.502,0.102,15.8,211.6
3.4,5.8,11.6,4.027,0.102,4.7,0.538,0.034,23.9,43.6
3.4,6.1,7.7,4.594,0.091,5,0.843,0.029,38,47
3.4,6.7,6.9,4.325,0.094,5,0.724,0.016,42.5,11.8
6.5,11.5,23.6,5.665,0.111,7.6,0.809,0.008,132.1,39.5
5,8.9,12,5.857,0.085,6.6,1.943,0.017,35.6,10.1
6,9.8,11,5.697,0.134,7.9,2.073,0.057,80.9,22.8
4.3,10.1,12.1,4.327,0.066,7.5,1.112,0.012,24,80.3
5.2,14.2,20.1,3.892,0.092,10.2,1.182,0.005,56.1,48.2
4.3,8.8,17.1,3.168,0.135,7.3,1.111,0.064,20.8,229.7
4.4,8.6,22.8,3.01,0.159,6.3,0.914,0.07,32.5,231.1
3.6,7.7,12.8,2.183,0.1,5.8,0.176,0.052,40.4,83.8
3.5,7.1,11.8,2.886,0.078,5.4,0.545,0.019,32,66
3.3,7.5,12.5,4.581,0.073,5.9,0.998,0.008,26.1,7.7
2.6,7.2,7.8,5.655,0.071,5.7,1.297,0.011,17.7,29.9
7.2,13,20.3,6.551,0.159,9.7,2.274,0.017,155.4,49
5.7,10.4,13.6,7.818,0.12,8.2,4.195,0.02,68.2,44.5
4,7.9,8.6,7.502,0.118,6.6,4.24,0.019,24.3,120.4
4.4,8.2,19.2,4.374,0.1,6.1,1.529,0.021,56.5,108.2
4.9,8.9,15.7,4.07,0.097,6.9,1.658,0.024,61.8,135.8
4.6,12.2,14.4,3.717,0.097,9.1,1.135,0.032,44.2,168.6
4.9,9.4,19,3.009,0.116,6.7,0.459,0.043,41.3,150.2
4.5,12.4,16.4,2.745,0.154,8.9,0.804,0.07,48.2,358.6
4.2,7.4,18.7,2.585,0.095,5.8,0.251,0.049,35.8,106.4
3.7,7.6,16.7,2.898,0.128,6.9,0.219,0.03,54.6,107.4
5.1,9.7,18,4.147,0.136,8.1,0.95,0.033,112.2,37.8
5.1,10.6,23.1,4.971,0.159,9.1,1.212,0.032,111.1,25.2
5.2,10.9,20.9,7.118,0.13,9.6,1.624,0.021,117.5,12.5
6.2,13.4,18.6,6.277,0.157,10.4,2.434,0.014,136.5,28.1
5.3,10.6,15.5,6.171,0.127,8.2,2.785,0.024,58.1,26.3
4.4,9.3,17.9,4.295,0.16,8.3,1.758,0.022,66.4,65.2
3.7,8.5,13.9,4.093,0.151,6.5,2.031,0.05,31.2,62.7
4.6,11.1,20.7,2.939,0.112,8.8,0.995,0.018,51.7,122.2
3.7,8.9,16.8,2.494,0.116,8.1,0.38,0.05,30.8,182.7
3.4,8.5,15.7,2.069,0.113,8.1,0.499,0.061,45.8,53.7
3.2,7.1,11.4,2.399,0.12,5,0.176,0.082,23.3,132
2.6,5.2,11.9,3.255,0.075,4,0.206,0.023,28.8,115.7
4.7,7.9,16.5,4.056,0.051,7.1,0.362,0.017,49.3,17.1
3.6,7.3,5.7,5.492,0.091,5.8,1.965,0.058,21.1,24.7
