spot,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,16.4,7.2,10.6,2.5,5.9,12.1,237,3.509,0,0,0.141,0,0,3.6
고막원천2,17,7.9,10.6,2.8,6.5,13,254,2.88,2.422,0.118,0.128,0.079,22.3,4.2
고막원천3,17.8,8,10.2,4.2,8.1,19.4,264,2.733,2.282,0.085,0.137,0.084,49.5,5.2
고막원천4,17.9,7.9,10.2,4.3,10,40.9,276,2.834,1.936,0.111,0.193,0.07,35.2,6.2
만봉천,18,7.8,11.6,3.2,7.9,14.4,270,2.126,1.429,0.089,0.152,0.077,15.2,5.2
문평천,17.5,7.2,10,1.9,4.6,16.8,257,3.341,2.902,0.093,0.078,0.032,4.2,3
영암천1,19.1,7.3,8.4,1.9,8,30.8,453,2.725,1.643,0.401,0.17,0.044,12.1,4.2
장성천1,17.7,7.3,8.6,3.7,8.1,12,263,4.408,0,0,0.207,0,0,5.3
지석천2,17.9,7.5,9.8,2.7,6.4,9.6,266,2.667,0,0,0.108,0,0,4.3
지석천4,17.9,7.8,10.1,3.6,7.4,19.7,300,3.1,2.239,0.129,0.154,0.078,16.3,5.1
풍영정천1,16.6,6.9,9.2,3.1,7.6,13.2,267,2.894,0,0,0.21,0,0,4.6
풍영정천2,17.8,7.3,10.1,5,9.6,22.2,298,2.578,1.552,0.272,0.179,0.066,30.5,6.8
황룡강3,18.1,7.3,9.9,2.9,6,8.7,257,1.906,0,0,0.069,0,0,3.8
황룡강5,18.4,7.4,10,4.4,7.5,14.2,275,1.972,0.961,0.41,0.111,0.026,17.1,5.1
