BOD,COD,SS,T-N,T-P,TOC,NH3-N,PO4-P,Chl-a,Rain,Flow
3.9,5.6,15.1,4.808,0.085,4.2,1.085,0.013,55,45,38.474
4.5,6.9,17,5.078,0.081,4.5,1.292,0.004,80.5,24.6,25.326
5.5,8.4,19.5,5.719,0.096,5.8,1.868,0.008,76.4,35.7,20.012
5.3,7.6,17.8,4.621,0.103,5.6,1.609,0.02,54.6,150.7,43.103
4.2,6.5,20,3.145,0.1,5.1,0.795,0.027,22.2,59.4,48.581
4.5,7.9,19.6,3.573,0.085,6.7,1.104,0.012,35.9,104.1,50.842
4,7.3,19.2,2.907,0.129,5.5,0.451,0.04,31.1,162.6,57.82
5,7.8,19.4,2.893,0.183,6,0.514,0.054,36,125.9,57.917
3.6,6.7,18.3,2.433,0.121,4.9,0.261,0.02,24.9,71.4,46.262
4.4,6.2,19.9,2.975,0.11,5.1,0.498,0.025,18,88.4,23.138
4.1,6.2,14.6,3.721,0.1,5.2,0.587,0.018,26,116.3,27.262
3.4,5.3,9.8,4.374,0.116,2.8,0.838,0.051,15.6,62.9,35.164
4.9,7.6,15.2,4.621,0.088,7,0.154,0.007,118.9,60.7,24.477
4.1,7,19.2,5.102,0.129,6,0.937,0.033,58.6,43.5,45.833
5.1,7.5,19.2,3.945,0.109,5.9,0.566,0.012,45.7,55.1,40.739
3.9,6.4,14,3.519,0.099,5.4,0.499,0.02,23.7,187.6,45.568
4,6.7,23.7,2.858,0.116,5.5,0.248,0.038,39.7,110.2,64.289
4.6,8.1,22.4,3.481,0.123,7.3,0.745,0.028,41.4,122.5,53.891
2.9,7.2,27.9,2.324,0.15,5.8,0.239,0.066,26.4,282.2,154.334
3.7,8.9,21.3,2.126,0.141,7.2,0.243,0.059,29.1,58.7,48.273
3.5,7.4,13.5,2.447,0.134,5.7,0.331,0.069,24.7,231.6,57.882
3.4,8.1,34.1,3.149,0.275,5.5,0.355,0.155,15.8,211.7,68.15
3,5.5,14.5,3.727,0.111,4.4,0.404,0.039,20.1,42.6,31.71
3.5,6,9.6,4.374,0.08,5.1,0.573,0.017,37.2,45.3,24.266
2.9,6.8,9,4.429,0.097,5,0.746,0.027,45.8,12.5,26.541
6.5,11,22.4,5.129,0.102,7.4,0.457,0.008,128.5,38.4,33.811
3.9,7.9,12,5.711,0.068,6.2,1.773,0.015,18.4,6.1,27.675
5.6,9.4,10.2,5.336,0.078,7.3,1.643,0.01,54.7,7.9,24.79
3.3,8.9,10.8,3.728,0.059,7,0.79,0.011,16.1,22.6,19.795
3.9,12.5,26.7,3.847,0.096,8.9,0.97,0.011,32.3,37.1,48.527
4,9.5,29.6,3.315,0.13,7.3,1.039,0.057,15.7,184.6,61.922
3.8,7.9,22.2,3.117,0.148,6.2,0.99,0.072,20.8,246.9,49.217
2.9,6.9,14.8,2.144,0.101,5.2,0.152,0.055,28.4,109,55.976
3.5,6.4,15.1,2.717,0.085,5.1,0.491,0.026,23.8,77,21.409
3.3,7.2,13.7,4.118,0.059,5.7,0.689,0.01,33.1,1.8,21.937
2.6,6.7,9.5,5.091,0.067,5.5,1.067,0.012,17.5,34.7,17.711
5.7,11.1,15.3,6.747,0.119,8.4,2.313,0.013,105.6,45.9,28.58
5.2,10,12.9,6.701,0.107,7.7,2.794,0.015,57.6,28.4,14.642
3,7.9,9.7,7.046,0.102,6.2,3.458,0.019,17.5,129.4,34.235
3.9,7.9,17.9,4.435,0.098,5.9,1.593,0.025,32.8,142.7,108.369
3.6,8.2,14.9,3.502,0.081,6.3,1.051,0.022,31.4,86.8,66.894
4.3,11.9,15.9,3.163,0.085,9,0.776,0.021,32.5,200.2,33.6
4.7,10.5,27.2,2.531,0.118,7.1,0.235,0.035,37.8,78.3,55.787
5.2,14.5,26.7,2.4,0.168,9.7,0.503,0.056,40.4,341.5,17.23
3.6,7.4,20.4,2.591,0.108,5.2,0.21,0.048,27.6,137.7,176.091
3,7.3,17.7,2.558,0.109,6.3,0.187,0.03,22.1,130.1,118.054
3.6,7.5,11.5,3.592,0.099,6.9,1.02,0.037,30.5,48.6,14.486
4.2,10.1,13.1,4.371,0.092,8.1,1.18,0.028,67.6,34.6,20.713
4.7,10.1,17.4,6.836,0.103,8.6,1.333,0.013,100.7,15.3,16.01
6.1,13.1,18.2,6.029,0.132,9.7,1.965,0.012,104.4,34.3,19.421
3.9,8.3,11,5.893,0.108,6.9,2.536,0.027,35.8,35.6,19.783
4.4,9.2,11.8,4.814,0.152,8.1,1.938,0.022,59.4,85.3,21.241
4,8.6,13.5,3.708,0.134,6.5,1.632,0.033,32.2,95,26.601
4.7,11.2,19.1,2.979,0.117,8.1,1.019,0.023,40.9,163.3,34.232
3.8,9.6,18.4,2.641,0.121,8.8,0.297,0.05,27.7,214.5,53.368
3.8,8.6,16,1.999,0.119,8,0.305,0.058,36.1,94.3,54.18
2.8,6.9,17.7,2.511,0.128,5.1,0.243,0.086,14.1,200.2,60.086
2.4,5.3,11.2,3.072,0.082,3.8,0.173,0.034,12,153.3,30.764
3.5,7,12.3,3.692,0.047,6.3,0.259,0.017,34.8,19.8,13.34
3.6,7.1,7.4,5.379,0.055,6,1.75,0.025,23.8,35,13.058
