point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a_상주2,0.013 ,0.019 ,0.019 ,0.011 ,0.015 ,0.016 ,0.018 ,0.013 ,0.023 ,0.009 ,0.006 ,0.008 ,0.006 ,0.011 ,0.006 
b_위천,0.009 ,0.007 ,0.012 ,0.007 ,0.009 ,0.010 ,0.013 ,0.004 ,0.006 ,0.005 ,0.009 ,0.012 ,0.009 ,0.016 ,0.005 
c_상주3,0.012 ,0.018 ,0.022 ,0.016 ,0.014 ,0.024 ,0.024 ,0.014 ,0.010 ,0.007 ,0.004 ,0.008 ,0.006 ,0.011 ,0.007 
d_산곡,0.015 ,0.015 ,0.017 ,0.009 ,0.009 ,0.019 ,0.024 ,0.010 ,0.020 ,0.009 ,0.005 ,0.009 ,0.008 ,0.012 ,0.007 
e_감천,0.109 ,0.138 ,0.142 ,0.131 ,0.109 ,0.114 ,0.052 ,0.044 ,0.052 ,0.029 ,0.028 ,0.048 ,0.016 ,0.039 ,0.030 
f_강정,0.021 ,0.026 ,0.020 ,0.014 ,0.011 ,0.020 ,0.025 ,0.011 ,0.016 ,0.007 ,0.006 ,0.013 ,0.008 ,0.017 ,0.009 
g_구미,0.058 ,0.090 ,0.050 ,0.057 ,0.083 ,0.068 ,0.064 ,0.033 ,0.012 ,0.012 ,0.003 ,0.009 ,0.008 ,0.013 ,0.008 
h_왜관,0.043 ,0.047 ,0.040 ,0.048 ,0.071 ,0.057 ,0.044 ,0.022 ,0.012 ,0.014 ,0.009 ,0.010 ,0.008 ,0.014 ,0.009 
i_성주,0.028 ,0.023 ,0.014 ,0.029 ,0.055 ,0.050 ,0.040 ,0.021 ,0.010 ,0.012 ,0.007 ,0.010 ,0.007 ,0.013 ,0.009 
j_달성,0.027 ,0.023 ,0.010 ,0.016 ,0.045 ,0.045 ,0.038 ,0.019 ,0.010 ,0.014 ,0.008 ,0.010 ,0.008 ,0.014 ,0.009 
k_금호강,0.333 ,0.342 ,0.596 ,0.505 ,0.512 ,0.346 ,0.309 ,0.169 ,0.032 ,0.024 ,0.019 ,0.032 ,0.013 ,0.024 ,0.026 
l_화원나루,0.200 ,0.197 ,0.206 ,0.163 ,0.218 ,0.136 ,0.118 ,0.048 ,0.015 ,0.016 ,0.013 ,0.019 ,0.008 ,0.016 ,0.013 
m_고령,0.109 ,0.106 ,0.136 ,0.160 ,0.172 ,0.104 ,0.087 ,0.046 ,0.013 ,0.014 ,0.012 ,0.021 ,0.007 ,0.015 ,0.012 
n_현풍,0.113 ,0.090 ,0.118 ,0.155 ,0.194 ,0.095 ,0.081 ,0.044 ,0.015 ,0.013 ,0.013 ,0.020 ,0.010 ,0.018 ,0.018 
o_회천,0.024 ,0.015 ,0.015 ,0.015 ,0.019 ,0.017 ,0.018 ,0.008 ,0.013 ,0.011 ,0.009 ,0.019 ,0.008 ,0.006 ,0.010 
p_창녕,0.103 ,0.095 ,0.098 ,0.119 ,0.173 ,0.084 ,0.067 ,0.034 ,0.015 ,0.018 ,0.015 ,0.016 ,0.009 ,0.019 ,0.013 
q_황강,0.013 ,0.012 ,0.008 ,0.034 ,0.006 ,0.010 ,0.024 ,0.011 ,0.010 ,0.016 ,0.022 ,0.009 ,0.003 ,0.004 ,0.007 
r_합천,0.079 ,0.072 ,0.088 ,0.097 ,0.136 ,0.063 ,0.055 ,0.034 ,0.016 ,0.016 ,0.015 ,0.016 ,0.007 ,0.015 ,0.015 
s_남강,0.039 ,0.045 ,0.052 ,0.026 ,0.048 ,0.020 ,0.017 ,0.020 ,0.014 ,0.019 ,0.015 ,0.010 ,0.008 ,0.013 ,0.004 
t_남지,0.062 ,0.068 ,0.075 ,0.072 ,0.071 ,0.051 ,0.036 ,0.023 ,0.011 ,0.012 ,0.011 ,0.012 ,0.007 ,0.013 ,0.010 
