site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
담양,Jan-15,1,7.6,15.7,0.9,3,5.4,3.282,0.033,1.5,8.2,260,2550,3.167,0.056,2.778,0.027,0.021,2.5,246,12.22
담양,Feb-15,2,8,12.9,1.6,3.3,4.1,3.182,0.106,1.9,7.8,227,2558,3.072,0.174,2.406,0.097,0.094,8.7,154,7.79
담양,Mar-15,3,7.8,12.9,1.1,3.6,5.6,2.579,0.081,1.8,10.5,244,1732,2.525,0.112,2.057,0.066,0.055,10.6,143,99.32
담양,Apr-15,4,7.6,11.1,2.4,4.3,8.2,2.915,0.096,2.6,14.9,230,14450,2.822,0.229,2.159,0.064,0.054,9.6,370,64.8
담양,May-15,5,7.6,9.9,2.5,4.6,20.5,2.75,0.096,2.6,19.2,187,96000,2.698,0.205,1.853,0.071,0.06,4.9,870,5.98
담양,Jun-15,6,7.7,9.6,1.9,4.8,26.8,2.707,0.083,2.7,22.8,224,291500,2.666,0.124,1.859,0.053,0.043,4.3,3230,7.32
담양,Jul-15,7,7.7,8.7,1.7,4.9,19.4,2.306,0.089,3,23.5,194,112500,2.214,0.098,1.589,0.061,0.054,5.5,8600,37.24
담양,Aug-15,8,7.8,9,1.7,3.8,21.6,2.262,0.073,2,24.3,169,20500,2.223,0.142,1.646,0.045,0.037,6.1,2175,58.51
담양,Sep-15,9,7.7,9.6,1.1,3.2,6.9,1.951,0.045,2.1,21.8,215,19500,1.913,0.16,1.344,0.029,0.028,3.5,3500,13.06
담양,Oct-15,10,7.7,12.1,2.2,4.5,6.6,2.178,0.09,2.6,19.1,286,193000,2.024,0.153,1.435,0.08,0.069,5.8,3425,38.84
담양,Nov-15,11,7.6,11.3,1.1,3.7,4.4,2.095,0.067,2.1,15.2,257,28010,2.043,0.07,1.771,0.058,0.054,5.2,118,93.1
담양,Dec-15,12,7.5,11.8,1.1,3,2.9,2.711,0.048,1.8,9.6,279,5225,2.677,0.058,2.297,0.038,0.034,3.1,210,49.99
담양,Jan-16,1,7.5,13.9,1.3,3.2,8.4,2.753,0.053,1.5,5.5,325,3700,2.7,0.092,2.507,0.045,0.043,7.9,205,47.5
담양,Feb-16,2,7.6,13.4,1.4,3.4,2.9,2.561,0.043,1.6,5.9,237,4067,2.542,0.077,2.014,0.035,0.027,5.3,58,22.29
담양,Mar-16,3,7.7,12.6,1.4,3.9,5.2,2.549,0.052,2.1,11.4,209,1333,2.511,0.111,1.95,0.041,0.035,6.9,757,36.39
담양,Apr-16,4,7.8,12.4,1.8,4.6,9.5,2.5,0.065,2.4,16,209,1373,2.31,0.124,1.553,0.049,0.036,8.9,47,141.03
담양,May-16,5,7.5,10.2,1.7,4.9,12,3.099,0.076,2.7,19.1,224,4540,2.987,0.179,2.063,0.051,0.04,8.5,187,46.8
담양,Jun-16,6,7.4,8.9,1.7,4.5,6.6,2.907,0.072,2.6,21.5,230,6100,2.806,0.305,1.968,0.05,0.041,7,110,101.66
담양,Jul-16,7,7.7,10.3,1.3,3.8,6,2.837,0.055,2.3,26,213,1607,2.781,0.141,1.976,0.036,0.036,7,247,167.04
담양,Aug-16,8,7.6,9.1,1.6,4.4,4.3,2.278,0.088,2.7,26.8,191,1476,2.134,0.248,1.32,0.063,0.061,6.2,451,139.77
담양,Sep-16,9,7.6,10.8,1.5,4.1,4.1,2.073,0.088,2.5,23.1,208,5750,2.001,0.091,1.599,0.075,0.066,4.1,1795,59.78
담양,Oct-16,10,7.6,11.1,1.1,4,5.3,1.937,0.076,2.5,18.9,184,18500,1.908,0.054,1.446,0.064,0.053,3.9,3150,95.25
담양,Nov-16,11,8.1,12,1.3,3.2,8,2.476,0.097,2.1,12.8,224,3900,2.372,0.112,1.615,0.079,0.069,10,1280,120.23
담양,Dec-16,12,7.9,12.7,1.5,3.5,5.1,2.905,0.156,2,7.6,281,13780,2.817,0.187,1.965,0.126,0.122,8.9,2351,61.39
담양,Jan-17,1,8,13.4,2.2,3.6,11,4.469,0.285,2.2,6.3,359,956,4.37,0.416,3.104,0.257,0.257,10.6,221,51.16
담양,Feb-17,2,7.6,12.8,2.8,4.6,8.1,4.373,0.335,2.7,5.8,292,952,4.142,0.52,2.799,0.306,0.303,13.5,126,43.52
담양,Mar-17,3,8.1,12.9,2.7,5.1,9.1,3.661,0.319,3.1,13,278,1650,3.421,0.215,2.352,0.213,0.21,24.2,45,58.43
담양,Apr-17,4,7.8,11.8,3.6,7.4,14.9,3.761,0.302,4.5,16.8,259,27400,3.705,0.303,2.433,0.273,0.256,55.7,192,185.56
담양,May-17,5,7.6,12.1,1.6,4.3,9.2,2.366,0.08,2.9,18.6,157,4375,2.177,0.121,1.673,0.058,0.047,17.8,101,105.54
담양,Jun-17,6,7.7,11.6,1.6,4.6,6.5,2.723,0.079,2.9,22.9,200,3215,2.646,0.085,1.951,0.059,0.05,16.2,314,106.73
