조사년월,조사년도,조사월,영산포_1 TN,영산포_1 EC,고막원천2_1 TN,고막원천2_1 EC
201301,2013,1,5.597,360,3.637,256
201302,2013,2,4.792,272,3.658,206
201303,2013,3,4.507,268,3.356,219
201304,2013,4,4.484,266,2.461,227
201305,2013,5,4.968,347,2.338,234
201306,2013,6,3.695,226,2.667,202
201307,2013,7,2.922,205,2.218,194
201308,2013,8,2.421,198,1.79,171
201309,2013,9,2.49,161,1.862,168
201310,2013,10,3.082,279,1.336,216
201311,2013,11,4.239,425,2.323,253
201312,2013,12,4.807,480,3.673,303
201401,2014,1,6.304,552,2.909,282
201402,2014,2,7.145,597,2.344,271
201403,2014,3,7.921,541,2.358,285
201404,2014,4,4.859,421,2.344,269
201405,2014,5,4.334,378,2.435,228
201406,2014,6,3.639,330,2.695,261
201407,2014,7,3.448,277,2.401,234
201408,2014,8,2.257,136,2.609,148
201409,2014,9,2.465,197,1.698,169
201410,2014,10,2.75,224,1.47,219
201411,2014,11,4.183,299,2.951,220
201412,2014,12,3.744,241,3.548,245
201501,2015,1,5.134,383,3.189,231
201502,2015,2,5.714,356,2.844,239
201503,2015,3,6.029,377,2.391,257
201504,2015,4,4.748,319,3.446,213
201505,2015,5,3.242,233,2.209,207
201506,2015,6,3.725,278,2.698,225
201507,2015,7,2.928,201,2.271,201
201508,2015,8,3.431,285,2.05,188
201509,2015,9,2.514,214,1.425,202
201510,2015,10,2.841,217,2.228,213
201511,2015,11,3.945,347,3.188,288
201512,2015,12,4.364,313,3.596,268
201601,2016,1,5.226,369,3.569,342
201602,2016,2,5.067,358,3.695,221
201603,2016,3,4.042,273,2.915,238
201604,2016,4,3.852,294,2.778,177
201605,2016,5,2.573,202,2.524,210
201606,2016,6,3.751,289,2.758,211
201607,2016,7,2.459,185,1.924,183
201608,2016,8,2.578,280,0.998,185
201609,2016,9,2.502,190,2.068,205
201610,2016,10,3.037,182,2.763,169
201611,2016,11,4.027,302,2.461,229
201612,2016,12,4.594,350,2.551,293
201701,2017,1,4.325,332,2.895,268
201702,2017,2,5.665,403,3.263,259
201703,2017,3,5.857,398,2.642,268
201704,2017,4,5.697,359,2.148,248
201705,2017,5,4.327,373,1.682,299
201706,2017,6,3.892,386,2.577,240
201707,2017,7,3.168,252,3.049,199
201708,2017,8,3.01,220,2.251,175
201709,2017,9,2.183,180,1.934,193
201710,2017,10,2.886,272,1.992,333
201711,2017,11,4.581,397,1.413,271
201712,2017,12,5.655,496,1.471,324
