pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Rain
7.6,14.7,4.5,373,3.9,5.6,15.1,4.808,0.085,4.2,67,1.085,0.013,55,20,41.1
8.1,13.9,4.1,345,4.5,6.9,17,5.078,0.081,4.5,80,1.292,0.004,80.5,2,25.7
8.2,13.4,9,361,5.5,8.4,19.5,5.719,0.096,5.8,133,1.868,0.008,76.4,10,34.4
7.7,9.7,15.5,314,5.3,7.6,17.8,4.621,0.103,5.6,1320,1.609,0.02,54.6,195,159.6
7.2,8.5,20.2,237,4.2,6.5,20,3.145,0.1,5.1,193,0.795,0.027,22.2,93,77.8
7.2,6.8,24.1,279,4.5,7.9,19.6,3.573,0.085,6.7,65,1.104,0.012,35.9,26,117.8
7.3,6.8,25.9,201,4,7.3,19.2,2.907,0.129,5.5,300,0.451,0.04,31.1,4,159.6
7.3,4.6,27.7,274,5,7.8,19.4,2.893,0.183,6,4800,0.514,0.054,36,1540,86.5
7.5,6.8,25,219,3.6,6.7,18.3,2.433,0.121,4.9,1080,0.261,0.02,24.9,205,79.5
7.1,7.7,19.7,226,4.4,6.2,19.9,2.975,0.11,5.1,560,0.498,0.025,18,52,84.2
7.1,8.5,15.5,330,4.1,6.2,14.6,3.721,0.1,5.2,400,0.587,0.018,26,16,106.8
6.9,9.5,9.6,309,3.4,5.3,9.8,4.374,0.116,2.8,180,0.838,0.051,15.6,66,69.3
8.5,14.8,3.5,351,4.9,7.6,15.2,4.621,0.088,7,45,0.154,0.007,118.9,48,79.2
7.3,14.4,5.3,353,4.1,7,19.2,5.102,0.129,6,470,0.937,0.033,58.6,210,40.5
7.7,13.4,10.1,265,5.1,7.5,19.2,3.945,0.109,5.9,1300,0.566,0.012,45.7,200,54.9
7.2,9.9,16.4,272,3.9,6.4,14,3.519,0.099,5.4,60,0.499,0.02,23.7,1,192
7.3,8.4,19.7,213,4,6.7,23.7,2.858,0.116,5.5,18300,0.248,0.038,39.7,3900,119.9
7.3,6.9,24.2,281,4.6,8.1,22.4,3.481,0.123,7.3,100,0.745,0.028,41.4,12,133.6
7,6.9,26.3,178,2.9,7.2,27.9,2.324,0.15,5.8,16000,0.239,0.066,26.4,2200,249.2
7.3,5.4,29.6,268,3.7,8.9,21.3,2.126,0.141,7.2,300,0.243,0.059,29.1,40,20.4
7,6.9,23.8,191,3.5,7.4,13.5,2.447,0.134,5.7,1500,0.331,0.069,24.7,30,197.8
7.1,8.2,19.7,185,3.4,8.1,34.1,3.149,0.275,5.5,8000,0.355,0.155,15.8,1000,203.1
7.3,9.8,12.9,285,3,5.5,14.5,3.727,0.111,4.4,400,0.404,0.039,20.1,120,61.5
7.4,11.6,8,349,3.5,6,9.6,4.374,0.08,5.1,100,0.573,0.017,37.2,10,45.9
7.3,12.4,5.4,346,2.9,6.8,9,4.429,0.097,5,70,0.746,0.027,45.8,2,13.9
8.3,13.5,4.9,385,6.5,11,22.4,5.129,0.102,7.4,90,0.457,0.008,128.5,1,32.3
7.7,11.2,8.5,407,3.9,7.9,12,5.711,0.068,6.2,20,1.773,0.015,18.4,1,3.1
7.4,12.1,15.6,362,5.6,9.4,10.2,5.336,0.078,7.3,80,1.643,0.01,54.7,1,6.2
7.5,9.5,21.1,356,3.3,8.9,10.8,3.728,0.059,7,80,0.79,0.011,16.1,4,13.3
7.2,7.7,23.9,373,3.9,12.5,26.7,3.847,0.096,8.9,300,0.97,0.011,32.3,4,28.5
6.8,5.1,27.4,273,4,9.5,29.6,3.315,0.13,7.3,400,1.039,0.057,15.7,200,138.2
7,5.6,27.6,234,3.8,7.9,22.2,3.117,0.148,6.2,100,0.99,0.072,20.8,50,200.8
6.8,7.4,23.8,167,2.9,6.9,14.8,2.144,0.101,5.2,400,0.152,0.055,28.4,50,109.4
7.2,8.3,18.7,263,3.5,6.4,15.1,2.717,0.085,5.1,200,0.491,0.026,23.8,50,62.7
7.5,11.2,11.8,369,3.3,7.2,13.7,4.118,0.059,5.7,50,0.689,0.01,33.1,2,1.4
7.9,11.4,6.3,471,2.6,6.7,9.5,5.091,0.067,5.5,12,1.067,0.012,17.5,1,45.3
8.2,13,3.8,474,5.7,11.1,15.3,6.747,0.119,8.4,44,2.313,0.013,105.6,2,58
8.6,14.9,3.8,465,5.2,10,12.9,6.701,0.107,7.7,5,2.794,0.015,57.6,2,39.3
7.5,9.2,10.1,401,3,7.9,9.7,7.046,0.102,6.2,800,3.458,0.019,17.5,200,152.7
7.7,8.6,15.4,271,3.9,7.9,17.9,4.435,0.098,5.9,30,1.593,0.025,32.8,10,169
7.6,7,21.1,280,3.6,8.2,14.9,3.502,0.081,6.3,300,1.051,0.022,31.4,30,89.3
7.9,6.2,25.4,323,4.3,11.9,15.9,3.163,0.085,9,100,0.776,0.021,32.5,1,162
8.4,8.2,28,214,4.7,10.5,27.2,2.531,0.118,7.1,20000,0.235,0.035,37.8,1100,67.6
8.4,7.7,30.8,344,5.2,14.5,26.7,2.4,0.168,9.7,100,0.503,0.056,40.4,30,246.2
7.2,7.1,24.2,183,3.6,7.4,20.4,2.591,0.108,5.2,400,0.21,0.048,27.6,190,151.4
7.7,8.6,18.4,229,3,7.3,17.7,2.558,0.109,6.3,300,0.187,0.03,22.1,33,138.4
7.9,9.4,12.7,332,3.6,7.5,11.5,3.592,0.099,6.9,400,1.02,0.037,30.5,12,51.1
8.6,14.1,7.8,392,4.2,10.1,13.1,4.371,0.092,8.1,4000,1.18,0.028,67.6,150,38.3
8.5,15.9,4.4,439,4.7,10.1,17.4,6.836,0.103,8.6,40,1.333,0.013,100.7,20,13.3
8.9,15.9,5.1,411,6.1,13.1,18.2,6.029,0.132,9.7,220,1.965,0.012,104.4,10,29.6
8,8.3,10.2,399,3.9,8.3,11,5.893,0.108,6.9,100,2.536,0.027,35.8,1,38.5
8.6,11.1,14.2,350,4.4,9.2,11.8,4.814,0.152,8.1,80,1.938,0.022,59.4,5,86.3
7.5,7.2,19.4,327,4,8.6,13.5,3.708,0.134,6.5,8,1.632,0.033,32.2,1,122.9
8.2,6.1,23.8,275,4.7,11.2,19.1,2.979,0.117,8.1,55,1.019,0.023,40.9,20,172.3
7.9,8.8,26.5,191,3.8,9.6,18.4,2.641,0.121,8.8,2900,0.297,0.05,27.7,1300,167
7.9,7.9,28.3,194,3.8,8.6,16,1.999,0.119,8,98,0.305,0.058,36.1,1,144.9
7.3,6.8,23.4,173,2.8,6.9,17.7,2.511,0.128,5.1,330,0.243,0.086,14.1,97,259.3
7.7,8.6,19.8,230,2.4,5.3,11.2,3.072,0.082,3.8,2100,0.173,0.034,12,410,159
8.1,10.4,14.4,337,3.5,7,12.3,3.692,0.047,6.3,450,0.259,0.017,34.8,10,14.6
7.8,11.5,8.5,409,3.6,7.1,7.4,5.379,0.055,6,2000,1.75,0.025,23.8,520,40.7
