spot,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,Chla,TOC
고막원천1,16.4,7.2,10.6,2.5,5.9,12.1,237,3.509,0,0,0.141,0,0,3.6
고막원천2,17.0,7.9,10.6,2.8,6.5,13.0,254,2.880,2.422,0.118,0.128,0.079,22.3,4.2
고막원천3,17.8,8.0,10.2,4.2,8.1,19.4,264,2.733,2.282,0.085,0.137,0.084,49.5,5.2
고막원천4,17.9,7.9,10.2,4.3,10.0,40.9,276,2.834,1.936,0.111,0.193,0.070,35.2,6.2
광주천1,18.4,7.9,10.3,2.5,4.3,7.2,307,1.557,1.226,0.066,0.088,0.046,20.6,2.4
광주천2,18.5,7.6,9.1,6.6,10.7,18.6,390,4.137,2.031,1.128,0.219,0.073,34.6,7.0
만봉천,18.0,7.8,11.6,3.2,7.9,14.4,270,2.126,1.429,0.089,0.152,0.077,15.2,5.2
문평천,17.5,7.2,10.0,1.9,4.6,16.8,257,3.341,2.902,0.093,0.078,0.032,4.2,3.0
삼포천1,17.9,7.1,6.8,5.5,12.2,46.1,395,8.728,0,0,0.218,0,0,7.7
삼포천2,19.5,7.3,8.4,4.3,10.5,67.7,921,3.199,2.014,0.315,0.184,0.041,22.7,7.2
영산천,20.2,7.5,10.0,3.2,7.8,20.9,351,4.913,3.679,0.533,0.190,0.109,5.3,5.4
영암천1,19.1,7.3,8.4,1.9,8.0,30.8,453,2.725,1.643,0.401,0.170,0.044,12.1,4.2
영암천2,20.1,7.7,9.7,3.7,9.4,33.8,1267,2.384,1.455,0.180,0.117,0.023,23.4,6.3
장성천1,17.7,7.3,8.6,3.7,8.1,12.0,263,4.408,0,0,0.207,0,0,5.3
장성천2,16.8,7.3,8.7,4.2,10.0,25.2,312,4.225,2.492,0.687,0.442,0.335,8.4,6.7
지석천1,18.5,8.1,10.6,2.2,5.0,6.1,181,1.490,1.195,0.040,0.060,0.028,13.7,3.3
지석천2,17.9,7.5,9.8,2.7,6.4,9.6,266,2.667,0,0,0.108,0,0,4.3
지석천3,18.1,8.2,11.0,3.1,5.9,8.7,251,2.064,1.719,0.036,0.089,0.046,34.8,4.5
지석천4,17.9,7.8,10.1,3.6,7.4,19.7,300,3.100,2.239,0.129,0.154,0.078,16.3,5.1
평동천,18.1,7.5,9.5,3.7,10.2,28.2,411,5.486,3.950,0.585,0.314,0.204,9.5,7.1
풍영정천1,16.6,6.9,9.2,3.1,7.6,13.2,267,2.894,0,0,0.210,0,0,4.6
풍영정천2,17.8,7.3,10.1,5.0,9.6,22.2,298,2.578,1.552,0.272,0.179,0.066,30.5,6.8
함평천1,16.2,7.7,9.9,1.7,5.1,8.0,241,2.310,2.005,0.043,0.055,0.027,8.6,3.2
함평천2,16.9,8.0,10.2,2.1,6.4,11.2,284,1.264,0.857,0.044,0.055,0.023,13.5,3.9
함평천3,17.8,7.3,8.5,3.6,9.9,51.3,447,3.526,2.414,0.269,0.203,0.069,17.2,7.0
황룡강1,17.3,7.7,10.5,1.7,4.2,4.7,253,0.706,0.470,0.022,0.034,0.008,7.9,2.4
황룡강2,17.7,8.0,11.1,1.8,4.7,4.2,230,1.150,0.934,0.023,0.035,0.012,9.3,2.7
황룡강3,18.1,7.3,9.9,2.9,6.0,8.7,257,1.906,0,0,0.069,0,0,3.8
황룡강4,19.1,8.2,10.6,3.3,5.7,11.6,269,1.278,0.884,0.064,0.058,0.014,29.9,3.3
황룡강5,18.4,7.4,10.0,4.4,7.5,14.2,275,1.972,0.961,0.410,0.111,0.026,17.1,5.1
